python : RiskManager initialized with 18 rules
En línea: 1 Carácter: 1
+ python tools/run_calibration_2B.py --mode quick --max-combinations 3  ...
+ ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~
    + CategoryInfo          : NotSpecified: (RiskManager initialized with 18 rules:St 
   ring) [], RemoteException
    + FullyQualifiedErrorId : NativeCommandError
 
2025-12-21 22:18:12,944 - INFO - RiskManager initialized with 18 rules
2025-12-21 22:18:12,945 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,946 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,946 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,947 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,947 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,947 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,948 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,948 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,948 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,948 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,948 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,949 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,949 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,949 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,949 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,950 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
2025-12-21 22:18:12,950 - WARNING - Se±al rechazada: ['kelly_cap:ETF']
